Text,Star
"半顆星都不想給......
古亭站1號出口的麻古茶坊也太雷了吧",0
"

上次跟店員說「我要用信用卡付款」，結果店員居然扣成icash（我是用聯名卡",0
扣錯導致自動加值了），弄得我還得打去信用卡公司請他們退費（又等了一個月才收到退費）,0
"

今天中午到下午去消費時，居然在我的飲料裡面掉了貼紙（標示飲料的貼紙）......我喝到最後才發現，真的很噁心，剩下的料我只能全部倒掉了",0
（附上照片為證,0
"）

打電話去反應，店員還很冷淡地回了「不好意思」幾字便立刻掛了電話，完全感受不到歉意，店家也沒有要補償的意思直接列入拒絕往來戶，不會再給您們店機會了",0
我想少了我這杯您們也無所謂吧,0
今天點了一杯翡翠柳橙，不知道是不是因為人手不足，在大熱天中等了近20分鐘,0
"
明明點微冰，拿到後的冰塊量卻比正常冰還要多一些，量也大概只有8、9分滿，杯內看得見明顯留白處，且翡翠柳橙竟然一粒果肉都沒有，還以為點到柳橙汁，讓人太失望了",0
"
餐點：1
服務：1",0
"#1017首訪
仙草凍奶茶
加珍珠60
五分糖
完全不甜
不好喝
可用悠遊卡結帳",0
之前買過這麼多次高山金萱，都沒有遇過茶裡面有這麼多殘渣還外加一顆波霸，照理來說這杯裡面不應該會有其他東西吧,0
下午去買椰果紅茶拿鐵，店員服務態度很好，飲料也不會等很久,1
"
又到了芒果季了，好期待之後喝芝芝芒果 …",1
6/27中午在這裡買了一杯芝芝錫蘭奶茶+混珠，滿懷期待打開來喝之後，裏面竟然有椰果，雖然是多送我一個料，但喝起來像香蕉牛奶，完全蓋過了奶茶味，讓我實在是喝不下去，而且變得很甜⋯（當天我點的是一份糖而已）真的覺得炎熱夏天滿心期待要喝飲料還沒有喝到自己想喝的東西的感受很差,0
喝過很多次楊枝甘露，第一次喝到一堆屑屑渣渣，還有像是塑膠材質的雜質，有點恐怖,0
"快打烊時來,
最近愛上他家的芝芝芒果粒
動作滿快的~
沒想到買完後面一堆人 …",1
"推芝芝草莓 好喝但是蠻貴的
不太推提拉米蘇 只有冰沙
服務
外帶
餐點類型
其他
平均每人消費金額
$1-200
餐點：5",1
"評論給的太沈重店員也很盡力了，老闆注意可愛的男店員，他的苦心維護公司的黃金比例火焰芒果太經典，一點都不能少,給他五顆星
服務
外帶
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：4
特殊餐點
辣粉一點都不能少",1
"怎麼可能大家都給星星數這麼低、今天必須朝聖
餐點：4
服務：4
氣氛：4",1
"5/4晚上買了四杯飲料，回家後發現杯架裡面有死蟲，衛生有疑慮…..
餐點：1",0
"難怪2.9 經過買了一杯芒果冰沙 95
蓋子給錯 跟我說這樣也能喝 連標籤都沒貼
服務真差",0
第一次喝楊枝甘露，口味酸酸甜甜的，很適合夏日午後搭配陽光飲用～點餐時小姐人也滿有耐心～雖然人很多，但是員工也蠻多，所以沒有等很久,1
另外可以自己刷載具很方便,1
都說了不要放下去,0
不要放下去,0
聽不懂人話嗎,0
"
回到家果然剩一坨沒化開",0
 我要喝熱可可去樓下便利店就好，何必跑那麼遠,0
"
餐點：1
服務：1
氣氛：1",0
"我點的飲料都還蠻好喝的，都是當季的水果相關的產品，不過價格是真的不便宜
服務
外送
餐點類型
其他
平均每人消費金額
$1-200
餐點：5
服務：4
氣氛：4",1
今日使用Foodpanda 外帶自取，於1:30下單預計1:45取餐,0
"
本人於1:40抵達現場，等待5分鐘後方與店員確認外帶自取單號，店員表示：「是Cxxxx Chen的訂單嗎",0
」因本人姓陳，加上已唸出Foodpanda 外帶自取單號，故便以為是自己的單，店員於是告知須稍待片刻，本人在現場再等候10來分鐘，過程中不斷聽到店員不斷對內喊叫：「外帶自取單號1xx到現場嘍，麻煩幫我先做,0
"」
然而，遲遲不見本人的飲料完成，本人第二度向店員詢問進度，得到的答案是外帶自取須等取餐者到現場，方會開始製作",0
"
但此時，與我同時到場的其他消費者均已取走飲料離開，此時本人內心已產生懷疑，然相信麻古茶坊店員的水平，仍持續耐心等候",0
"
時至14:00，本人再度向店員詢問訂單進度，因珍珠已售完，店員詢問我是否願意變更餐點，然本人根本未訂購珍珠系列商品",0
此時方才發現，本人之訂單自始至終均未列印出來，找不到單的女性店員始向另一名男性店員詢問，經一番確認後，方找到我所訂購之訂單,0
"
此時方開始製作，製作完成之時間已為14:10，易言之，本人在現場等待30分鐘，現場點餐的其他消費者與Ubereats、Foodpanda外送員業已來來去去兩批人，實令人十分不滿，本人預計向消保會申訴本次消費經驗，同時在此提供本人的消費經驗與其他人分享",0
"速度不快 做出來的東西也不如預期
重點服務態度極度不佳",0
"
請貴公司加強員工訓練
餐點：1
服務：1
氣氛：1",0
上午11點前電話訂餐，詢問12點前可否送達，店家回復可以後才下訂，結果等到12點10分還沒送來，致電得到答案是找不到接單的外送員，讓我們再等等，這一等就是下午2點半才拿到,0
"

--------------------------------------------------------------------------------------------------
*最後悔的是沒先看其他人的評論就貿然選這間店",0
"
#中午同事的聚餐都毀了
#看到星星這麼少我就安心了
服務
外送
餐點類型
其他
平均每人消費金額
$1-200
餐點：2
服務：2
氣氛：1",0
"8點就說冰沙沒了珍珠沒了奶茶沒了
什麼都沒有了 開什麼店 有夠扯
我看是店員覺得做這些飲料費勁 懶得做吧
餐點：1
服務：1
氣氛：1",0
因為要叫比較多杯怕等候太久就先「打電話」預訂，結果跟「現場」等根本沒什麼兩樣，等了將近半小時的時間就算了，我叫的是玫瑰紅茶拿鐵，一喝沒玫瑰味覺得怪怪的，而且不是很好喝⋯找了一下官網圖片，覺得很誇張,0
根本錯杯⋯買了一杯有價差（比較貴）的飲料還不好喝，真的很失望  …,0
"7/16
製作飲料的女性超優秀
怕客人拿錯
飲料杯外都不會擦，沾上足夠多的飲料
讓手握上去先品嚐，擺放飲料的檯面也充滿飲料殘渣，應該是確保每一杯飲料都滿出來，用心服務，值得好評
服務
外帶
平均每人消費金額
$1-200
餐點：1
服務：1",0
"可能我長太醜
店員對其他人都客客氣氣
唯獨對我不耐煩
我對店員深感抱歉
服務
外帶",0
"今天早上去買飲料不知道店員是怎樣吃到炸藥服務態度可以再差一點 做服務業就認命點 另一位矮矮的女生態度就好很多 不知道貴店的員工教育如何 可以把員工教成這樣
服務
外帶
平均每人消費金額
$1-200
服務：1
氣氛：1",0
"外送客人要有心理準備一小時才喝得到

我從接到訂單從公館騎來至少5-10分鐘，來了也乖乖排隊等候，整間店我前面只有一組客人，點完餐不到1分鐘就拿到飲料走人，然後跟我說我的訂單還要10分鐘（所以外送訂單 即使現場沒客人，也要20分鐘才拿得到餐的意思）

所以外送客人跟司機都傻子就對了
看你們的評論2.9顆星，看起來所有問題也沒有要改善的意思了，真是謝了

Ps. 來10次最少5次以上都是這情況
服務
外送
服務：1",0
已經兩次了，奶茶半糖 都沒有加到糖能喝嗎,0
"
教育訓練的員工素質這麼差",0
"
難道我還要親自跑回去換一杯飲料嗎",0
"
我時間很寶貴，好嗎",0
新開幕，店面乾淨明亮，等待的人很多，楊枝甘露不錯，柳橙果汁也好喝,1
剛剛去買了一杯翡翠柳橙+波覇，一喝實在傻眼完全沒有任何柳橙味淡如水白白花了＄75好生氣,0
 …,0
"約2:30外送給我 剛剛打電話過去（2:50）問說還要25分鐘 真好玩
服務
外送
餐點類型
其他",0
真的做得很慢，感覺就是教育訓練故意要店員做得慢的，而且此店位於風口風很大真的沒辦法久等，所以只能給兩顆星,0
"遇過態度奇葩的，還有等了半個小時做不好一杯飲料的，你們要不乾脆別開了
餐點：5
服務：1
氣氛：1",0
"今天打電話 說要自取 飲料

只能付現 也不能刷載具

詢問後

一個女生用態度很差的說
因為
是打電話 所以他們都先打發票
打電話 所以他們都先打發票
他們都先打發票",0
"

真是傻眼 其他分店都沒有這個規範
給其他消費者 看一下",0
"喝過這麼多家的麻古
就這間好喝且服務態度良好",1
"
店面也漂亮啊～交通很方便古亭站1號出口",1
我很好奇這杯冰沙怎麼打的 是葡萄汁+冰塊吧 裡面完全沒有冰沙,0
"果茶少冰微糖還ok 、果肉不多
服務態度普通
可街口支付",1
下午去買，有一對阿桑跟阿伯買了大概50杯，我們單點的被店員晾在旁邊，全店五位店員都專心再做那50杯，已經排成長長一跳人龍還置之不理，是不是可以增加人手或是輪流作,0
等了超久，冰都不冰了，服務跟飲料完全不值得這個價錢,0
"如果現場點需等店員做完已收到外送訂單的話，那請結帳前先告知""需要等較久""!  更誇張的是，前面客人點的飲料因材料的原因需費時較久，竟然可以將後面客人點的製作較為簡單的熱飲在做好後擺在台子上等著不發放，只為了店員能不跳號叫取",0
熱飲拿到時都不怎麼熱了!附近好幾家飲料店和咖啡店，只有你們家會這樣,0
 也不是沒去過別家麻古分店，但就是沒遇到過把做好的熱飲放著不發，非要死等順序叫號的,0
第一次喝到裡面都是碎渣的翡翠柳橙，不是果粒哦，是渣，我每一口都喝到渣，口感很差，不知道怎麼做的，我買別家都不會這樣，中午去買，排一堆人，店員只顧做飲料，等了很久才結一個人，然後說點餐稍等，後面的繼續排,0
搞笑哦,0
9/9，下午1.左右,0
女店員服務態度很差,0
"
餐點：1
服務：1
氣氛：1",0
"等了15分鐘
看著兩個店員手忙腳亂，沒有什麼S O P
一位店員從一旁的門出來抽了兩次煙

讓在等的顧客全都吸他的二手煙
梅子綠也不好喝
服務
外帶
餐點類型
其他
平均每人消費金額
$1-200
餐點：1
服務：1
氣氛：1",0
"錫蘭奶茶喝起來淡的跟水一樣，超難喝
服務
外帶
餐點：1",0
點三杯芝芝芒果果粒 （$285）遇到老店員教新同事，芒果真的只放大概接近一小顆芒果的份量， 卻把冰塊塞的滿滿到整個打果汁機的容器內，再加入水，打完冰砂也只倒出一湯匙多一點在杯中，剩下的可以再賣十幾到二十杯以上，可以想見八九分滿的一杯芝芝芒果果粒的味道是有多麼稀薄,0
而且因為冰塊太多，只隨便打幾次也沒認真攪拌，喝的時候都是大小不一的冰塊，完全不是冰砂,0
我在大安區忠孝復興店或延吉店買的都沒這麼淡過與充滿了冰角,0
 超級無敵跨張,0
品質爛爆的一次,0
10點打烊 9點40幾分開始排隊 點餐愛點不點 櫃檯也都沒人 10點一到馬上跟後面的人說 我們打烊了 真的是傻眼貓咪 就剩下幾位做完不行嗎,0
都排這麼久了 我知道餐飲業辛苦 態勢這是基本態度吧,0
"麻古的飲料好喝，但這家店店員的工作態度實在讓人無言
餐點：5
服務：1
氣氛：1",0
店員態度真的不好耶，點無糖還加糖，用行動支付也沒提醒到底能不能刷了，買飲料還要自備讀心技能,0
人多就算了，但只有我一個，店員還一臉不耐煩到底,0
"
難怪評論都說服務態度有問題",0
"
看評論回覆只會叫你花自己的電話費打去反應，大部分人應該都會算了吧",0
"
這附近飲料店很多，不用執著這家",0
"

建議不要點溫熱的飲品，買回家喝整杯都是塑膠味，很可怕",0
"柳橙芒果果粒茶的芒果肉極少 和我在其他間喝過的落差超大 讓人非常失望
餐點：1",0
珍奶不錯，但一分糖還是很甜欸，好像一般的半糖，可能珍珠太甜，以後要點無糖,1
平常第一次去的店家都有查評價、看部落格的習慣,1
因為常看店家門口有客人排隊，加上看到有我最愛的抹茶，這次沒想太多就點了,1
"因為太好喝了，簡直像去抹茶專門店喝的一樣，讓我不禁好奇這家店還有哪些厲害的飲品⋯結果看到google評價很低的給分⋯
覺得好可惜，這麼好的飲料居然評分這麼低～不曉得是平常太忙還是店員素質有差異",1
但我還是想為這一杯飲料給店家一點鼓勵 繼續加油,1
 …,1
"喝過很多分店的柳橙果粒茶 第一次買到淡如水好難喝==

3/29晚上19：30左右去買店員有兩個
一個比較瘦的男生負責櫃台點單 另一位較高壯的男生在做飲料
柳橙果粒茶做很久 比我晚點的客人都先拿到了
不知道是沒備果肉還是怎樣 一直晃來晃去不知道在等什麼
中間還一度脫下工作圍裙走來走去 到底",0
"
幾分鐘後去廚房還是哪裡拿出一盒果肉 才開始慢慢做飲料

茶沒味道像喝水 明明是點去冰沒有冰塊融化問題 果肉也很少又小的可憐
一杯75給客人這樣的品質",0
"真的該檢討

一顆星是給那位瘦瘦店員他的親切
飲料品質/員工訓練都請加油",0
特地來買百香綠茶但沒有裝滿…有點傷心 …,0
不知道芝芝葡萄倒兩杯糖漿是正常的嗎…? 看到店員製作時就疑惑了一下，喝起來真的甜到不可思議,0
而且今天明明也不熱，但放了大約十五分鐘就沒有冰沙，完全變成超甜糖水了….. 還是混著一堆碎葡萄皮的糖水,0
以前喝起來完全不是這個味道的，希望你們可以維持品質,0
櫃檯服務客氣，夏天當然就是要楊汁甘露了,1
"團訂⋯
三分糖好甜
建議喝一分糖或無糖 …",0
晚班的女店員服務態度超差，不喜歡這份工作可以不要做,0
"
我很少看到手搖店的評價會低於三顆星的",0
太強了,0
"單純想要讚賞剛剛幫我預購杯套的弟弟，態度好，做事八面玲瓏，動作很快，遇到狀況也會快速排解
服務
外帶
餐點類型
晚餐
餐點：4
服務：5
氣氛：4",1
綁頭髮長頭髮的那位小姐 真的態度不知道在差什麼，請問你們態度不好大家要去買嗎,0
"
餐點：2
服務：1
氣氛：1",0
飲料沒有以前的濃，近期北部每一家店都買過一輪，覺得變料很少，跟往常的相差甚遠,0
麻古系列裡面態度最差的一家店，根本沒有服務態度，除了要什麼,0
跟喊號碼以外，店員沒笑容擺臭臉，跟他說謝謝等於跟牆壁說一樣，常常買楊枝甘露偷工減料，不是沒有茶凍就是沒有葡萄柚，從來沒有買到完整的一杯過，最近常常遇到故意一直做飲料讓你等五分鐘以上，要是放棄不買，店員一副鬆口氣的樣子，以後不會再去消費,0
原本一直都很期待麻古芒果季 沒想到這家是我喝過的芒果系列最～～淡的,0
"
淡如水真的很誇張",0
單喝冰沙真的喝不出來自己在喝芒果冰沙的那種,0
"
當時看到店員加一整個果汁機的冰塊就覺得不妙 唉當下沒反應現在非常後悔",0
一樣是芒果果粒波波，中和店會問幾分糖，古亭店問都不問，整杯芒果果粒波波超級甜，甜到刺喉嚨，加一大杯水才喝得完,0
店員蠻有禮貌，雖然很多人排隊買飲料，點餐時也不會不耐煩，但可以請不要忘記問甜度冰塊嗎,0
"古亭站2號出口附近
在轉角，很方便購買
人潮多，生意很好

可以line pay，也可以街口支付
不用掏錢，也不用找零，很方便

點了金萱雙Q~半糖少冰
很好喝，只是雙Q也太少...
感覺是一杯的比例
不是一「瓶」的比例",1
就兩杯飲料，在現場等了十幾分鐘,0
飲料做好，一直放在那邊，直到其他人弄完手邊才去處理,0
現場戴耳環的男生，臉有夠臭的，希望店家能加強員工訓練,0
喝過幾次，但今天店員真的很不行，兩個員工現場只有我要點餐還有一位點了五杯葡萄在等的客人,0
點餐等了3分鐘，一杯飲料做好不趕快出我等你們拿又等了兩分鐘,0
12:30去電訂購45杯飲料，告知約14點會送達,0
大約14:15回電說司機delay，大概會14:30-40才會送達,0
後來到15點飲料都還沒來,0
建議訂購量大的要注意,0
如果無法這麼早送到，就不用說的那麼明確,0
"原本看到評價 想說沒太大期望
但買完需給五星評價平反
下午2-3點",1
"點餐的店員
態度非常親切 光她就值五顆星了
其他店員的動作也非常迅速
10幾杯飲料 一下子就完成～",1
"這家分店可以有做到水準
忠孝復興店的完全不行 …",1
"飲料好喝沒話說，但麻古外送與訂購體驗極度不好:

1.夏天初期招牌飲品不外送：訂單門檻高，湊到門檻才說某些不送",0
"
2.外送比預計送達時間延遲半小時：店員告知11:30-12:00送達，12點到了沒接到通知，想說到門口等，結果看到麻古人員在送11:30的單，所以12:30才拿到比原本晚半小時是很正常的，電話也完全打不通無法確認是否已送出",0
"

不會再訂購麻古外送",0
綠茶和金萱真的好喝，最近萬聖節還有可愛的吸管裝飾～,1
"香橙果粒沒果粒真的感覺很差，一杯80是開玩笑嗎
服務
外帶
餐點類型
其他
平均每人消費金額
$1-200
餐點：1
服務：3
氣氛：3",0
這間麻古不算小間，但即使現在沒人沒外送，但不知道為什麼每次來買一杯無糖茶也會做很久,0
"
不知道這間店的店員做飲料遇到什麼困境",0
"
而且只有這間的珍珠不會甜",0
"飲料是很好的
但是我實在無法理解 為什麼每個人臉色跟口氣都那麼
尤其是女生（",0
"）
毫無顧客體驗 我知道人潮眾多很辛苦 尤其是這個地段
但為什麼離峰時段 服務態度還是那麼糟糕我就問@@
根本就是沒家教 不是員工訓練的問題
真的不想做 沒人逼你^ _ ^
最好給我收斂態度 不要以為戴口罩就可以肆無忌憚使臉色：）",0
出餐順序有問題 等了好久 後面的客人都拿到了我還在等 店員打錯單改單之後品項還是錯的 真的謝囉,0
點餐時慢條斯理order我的需求，同時店員三番兩次鬼打牆地問我糖冰，請問是法大來上班ㄇ其中一杯點了多冰，以為order完、幾乎要轉身了又再打臉叫住我說不能點多冰@@ 其他店都可以多冰唯獨古亭店不行是什麼魔術ㄇ …,0
我前面一堆人買楊枝甘露，我買百香雙Q，結果因為楊枝甘露的製作，只有一個桶子，一次就那幾杯，其他工作人員就負責做其他的，很當然的我的比一些人的早做出來了，但櫃台的拿到後看了下卻沒有叫號，放在一邊硬是等我前面的號全部楊枝甘露做好了發完了，才發我的，太不人性化了，難怪天天外面一堆人,0
如果買楊枝甘露的要等很久，他應該告訴那些人，而不是影響買其他飲料的，不然改成楊枝甘露專賣店吧,0
"上一次消費 服務人員態度不佳還漏單
導致我們多等了超級久 非常傻眼
這次是店內人員做飲料做到一半來收銀
手上全是飲料糖漿等等，完全沒有洗手
找來的錢也全部都沾滿了粘膩的糖漿
衛生習慣非常糟
期待麻古茶坊能正視評論裡的這些負評
不然整家飲料店經營成不到3顆星的評價也是蠻鼻酸的",0
在其他店面也不是沒有排很久過，但這次覺得真的很扯,0
"

下午兩點多，家人點完飲料後想說去買個東西再來拿，過號一堆人都還沒開始做飲料，告知叫號人員兩次後還可以完全沒動作，結果後來叫號人員才跟做飲料的人說：「欸這個先做啦」",0
"

過號後還在外面白等15分鐘是當客人智障嗎",0
前面號碼的飲料先做很難,0
"1. 外帶自取的預約訂單逾時
熊貓外帶自取，早上11點30分下單，預約下午01:00自取，到現場告知取餐，服務人員才開始準備飲料 （原來外帶自取預約的時間是參考用的，一樣要現場排隊取餐，兩杯飲料一個半小時的時間來不及準備",0
"）

2. 疫情期間，外帶客人在店門口群聚
生意太好但只有一個內場一個外場，「業主」是否考量增加服務人員",0
 若增加服務人員，可提升服務的能量，降低客人等候群聚的風險，避免預約自取單的逾時,0
"昨天買了一杯柳橙果粒茶
結果超淡喝起來像開水，水加好多，柳橙味道很淡",0
"
到底會不會調 ",0
一杯又不便宜,0
這樣倒不如在家自己榨算了還比75便宜,0
"
水準很不一耶",0
有朋友又說淡水很好喝,0
希望你們能調整品質一致,0
"有個點單的女店員態度超差
買個飲料只是詢問還有沒有態度都能差成這樣
麻古是好喝的 但完全輸在員工素質身上
希望能加強教育",0
作得時間實在是有夠慢，不曉得員工訓練有什麼問題；沒什麼人時也慢，營造出很忙樣子；另外，不是愛計較，因為每次點波霸奶茶，波霸的量每次都不一樣,0
有時候正常，有時候真少得可憐，波霸價是算顆數的嗎，不用多 好歹也一般量好不好⋯⋯,0
"在打烊前來購買
剩兩位男店員
我在等飲料的時候
高高瘦瘦的店員正在接電話
另一位幫下一個客人結帳後
直接就幫我處理飲料
而且我在旁邊看他的手還有摸到飲料本身
這也太不衛生了吧
疫情期間金錢來往不是更該注意一下嗎⋯⋯",0
糟糕透頂的態度，不要說什麼服務，對人基本的禮貌也沒有,0
金頭髮女店員不想做就不要做，沒人刁難你，搞得好像全世界的人欠你，逼你要做這一行,0
因為這位店員，此生不再買你們這一家店,0
喝了那麼多家麻古，這家是最讓人覺得後悔來的,0
"
特地到古亭來買，服務態度差就算了",0
"還教訓客人…
其他家麻古的店員都非常貼心且有禮",0
"
就算我手搖飲料只喝麻古，但以後不會再選擇這家消費了…",0
剛開店白天客人真的很多，但店員很親切,1
有詢問店營業時間從早上10點開到晚上10點，下次想選擇晚上吃飽飯再過來買我點的柳橙果粒茶好喝+裝潢很漂亮+又在古亭捷運出口出來超方便，會持續支持的,1
"從開店到現在店員動作都慢到不行 沒有進步過
貴店在徵店員的考核標準是不是動作要夠慢而且沒有時間觀念才能錄取",0
0814七夕辦搖滾波波奶茶買一送一的活動，廣告也沒說限量，活動時間是下午2點到晚上8點，結果不到5點，店員就說全部賣完了,0
明知有活動卻沒提高備料，如果不想賣就不要辦活動啊,0
"(已修正評價)
很抱歉是我誤會了",1
"
我有重新檢視菜單，我之前以為飲料容量是M/L，但實際上是L/瓶，所以我點中杯你們做成大杯是合理的，是我自己搞錯，如此並沒有收錯錢的問題",1
飲料很好喝 但結帳店員態度總是很差 大概是這家店的特色,1
好幾個結帳店員都是如此,1
"
除了芝芝系列外 推 波霸紅茶拿鐵 季節限定芋泥波波 百香雙Q果",1
工作人員好像都不太戴口罩,0
"味道每次都不同
點一樣的飲料  喝起來濃淡都會不一樣

這家店為何不能固定配方呢
以後來買是不是要指定店員
才能喝到想要的味道",0
沒有人在買，結帳也沒說有號碼單,0
拿飲料後卻又叫號，旁邊根本也沒人...跟店員對看後又跟我討號碼單...還得開錢包找發票...給了發票又說要號碼單...........建議如果這麼想要號碼單，麻煩結帳的時候就每個人都說一次,0
萬聖節有免費拿取的骷髏頭吸管套，很有儀式感，加分,1
買了傳說中的楊支甘露結果以為喝了芒果冰沙(芒果味道很重，蠻不特別的啦)都是大家叫好喝而買的哈哈哈once in a lifetime! This is a new store so u better go when there is no line or else u will wait foreverrrr it doesn't live up to the hype though sorry :(,0
買了草莓果粒波波，冰沙口感很差，根本不是冰沙是冰塊口感,0
"2023年9月22日 星期五 初次到訪
2023年9月23日 星期六 19時12分 評論
點了翡翠綠茶，還不錯喝~",1
每天都會從捷運站進出，因此從開業就持續光顧，飲品品質維持的不錯；不過隨著生意越來越好，等待時間會稍微久一點，不過避開熱門時段，如中午用餐、下午茶等時段，其實也還能接受,1
蠻推薦的.....,1
翡翠柳橙買一送一活動第1天，平日下午才2點多就說已經賣完了，非常沒有誠意,0
"
換一家分店購買就有滿滿的柳丁擺在店內，柳丁很甜，1分糖就很好喝了",0
"
古亭店不推，建議到其他分店消費",0
透過熊貓平台叫飲料，送來發現品項做錯，因為是公司團體訂購，會有人喝不到，需要他們補送換貨，直接遭到拒絕，還要我們自己去換，面對錯誤這麼無賴的處理方式，消費者自己要多留意,0
"今天麻古的店員態度再爛幾點的 點餐的時候不知道在兇什麼 明明店員自己沒聽到  再來 飲料封膜完也沒確認就拿給客人 結果根本沒封好灑得我車子都是

拿回去更換 也沒個不好意思 在那聊天 傻眼",0
今天中午去買了兩杯紅茶拿鐵，好了之後看了一下兩杯旁邊都是奶茶，跟店員反映了也是抹布隨便抹兩下就給我，請問出杯前都不用擦嗎,0
當下也沒其他客人，做事態度怎麼能那麼差,0
"在訂外送時寫了一個備註：免費梅子+1，感謝不知道哪位佛心店員真的完成要求了給五百分
餐點：5
服務：5
氣氛：5",1
一開始點餐前說大概會等5-10分鐘，結果莫名其妙等了20分鐘,0
直接被店員跳號，飲料直接被放在旁邊店員都不理會，然後多等很久⋯⋯,0
第一次遇到店員說電話點餐只能付現金，其他分店都沒這種奇怪規定,0
第一次喝麻古，店員非常熱心也很客氣，還很有耐心地介紹推薦飲品，服務很棒～當天芝芝其他系列都賣完了，所以點了推薦之一的“芝芝葡萄果粒”，原本是說口味酸甜，但實際喝起來並不酸(我比較怕酸XD),1
而且葡萄和奶蓋、茶凍融合在一起，不會突兀，反而很搭,1
還吃得到一點點果皮和果粒喔,1
雖然芝芝系列價位偏高，但久久喝一次真的很讚，之後還會再買～,1
"離公司很近~
雖然每天都大排長龍
但真的很好喝(˶‾᷄ ⁻̫ ‾᷅˵)
推楊枝&芝芝 必點",1
"

如果要點很多杯，建議大家打電話預訂
不然真的要等...",1
飲料點了付錢未做，處理方式又不懂變通,0
一拖再拖,0
拖到公司都要下班了才來退錢,0
沒原物料應該不是消費者的問題吧,0
住附近，買了幾次，10次有7次點餐的服務員態度差到讓人印象深刻，要不是家人說要買，真的不太想再光顧,0
然後等待時間真的非常久，要留意,0
我覺得櫃檯那個女店員需要去看耳朵我每個禮拜都很來買一次好幾次都給錯飲料每次跟她點瓶都會給我杯的到底是怎樣,0
產品很標準的一間店唷，不會因為人多而影響服務和產品品質,1
"
這裡的楊枝甘露真是盛夏好夥伴~",1
芝芝芒果果粒真層次分明，喜歡上層的起司蓋奶，有一種吃甜點的幸福感，底層的芝芝茶凍清爽、口感滑順，中間的芒果冰沙甜度適中，真的要說什麼缺點，應該是碎冰太大塊，我比較喜歡滑順、細緻綿密口感的冰沙，一杯95塊，以手搖杯來說偏貴，但我喜歡這個搭配跟口味，所以應該會回購,1
已經點了很多次都特別說了波霸要多一點(因為知道他們家給的都很少)，結果每次拿到都還是少到讓人傻眼…到底多給一點料會怎麼樣= =,0
